Catégorie,Manifeste IIIF,OCR-relu,Contributeur,Source,Ville,Lieu d'exposition (section unique),Titre de l’exposition,Année début,Mois début,Jour début,Année fin,Mois fin,Jour fin,Pays d'aujourd'hui,(État d'aujourd'hui),,Pays d’époque,Ville d’époque,,adresse complète de la section telle que dans le catalogue,numéro de rue de la section,Rue de la section,étage de la section,lieu dit de la section,complément d’adresse de la section
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6422840m/manifest.json,,,ark:/12148/bpt6k6422840m,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'École moderne  exposés dans les galeries du Musée national du Luxembourg",1882,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k64242153/manifest.json,,,ark:/12148/bpt6k64242153,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'Ecole moderne exposés dans les galeries du Musée national du Luxembourg",1884,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6424086g/manifest.json,,,ark:/12148/bpt6k6424086g,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'École moderne exposés dans les galeries du Musée national du Luxembourg",1886,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62350714/manifest.json,,,ark:/12148/bpt6k62350714,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'École moderne exposés dans les galeries du Musée national du Luxembourg",1888,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k64243193/manifest.json,,,ark:/12148/bpt6k64243193,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'École moderne exposés dans les galeries du Musée national du Luxembourg",1890,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1421424s/manifest.json,,,ark:/12148/bpt6k1421424s,Paris ,Musée national du Luxembourg,Musée national du Luxembourg. Catalogue illustré d'après les dessins originaux des artistes et divers documents,1892,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k64212904/manifest.json,,,ark:/12148/bpt6k64212904,Paris ,Musée national du Luxembourg,"Catalogue sommaire des peintures, sculptures, dessins, gravures en médailles et sur pierres fines et objets d'art divers de l'école contemporaine exposés dans les galeries du musée national du Luxembourg",1894,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6424289d/manifest.json,,,ark:/12148/bpt6k6424289d,Paris ,Musée national du Luxembourg,"Catalogue sommaire des peintures, sculptures, dessins, gravures en médailles et sur pierres fines et objets d'art divers de l'école contemporaine exposés dans les galeries du musée national du Luxembourg",1898,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6573766f/manifest.json,,,ark:/12148/bpt6k6573766f,Paris ,Musée national du Luxembourg,Catalogue des lithographies originales de Henri-Fautin Latour. Expositions périodiques d'estampes. Troisième exposition (1er juin 1899),1899,juin,1,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6226652w/manifest.json,,,ark:/12148/bpt6k6226652w,Paris ,Musée national du Luxembourg,"Description des ouvrages de peinture, dessins et aquarelles de l'école britannique moderne offerts à la France par M. Edmund Davis [Texte imprimé] : suivie de la nomenclature des ouvrages d'artistes anglais modernes appartenant aux collections nationales",1915,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6234712c/manifest.json,,,ark:/12148/bpt6k6234712c,Paris ,Musée national du Luxembourg,"Catalogue des peintures, sculptures et miniatures",1927,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62266643/manifest.json,,,ark:/12148/bpt6k62266643,Paris ,Musée national du Luxembourg,"Catalogue-guide, peintures",1929,mars,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,Exposition d'artistes vivants -  depuis 1769 https://www.royalacademy.org.uk/art-artists/search/exhibition-catalogues?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&page=15&q=exhibition&title=&utf8=%E2%9C%93,,,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol32-1800?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=32&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCC. (1800). The thirty-second., 1800",1800,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol33-1801?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=33&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCI. (1801). The thirty-third., 1801",1801,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol34-1802?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=34&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCII. (1802). The thirty-fourth., 1802",1802,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol35-1803?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=35&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCIII. (1803). The thirty-fifth., 1803",1803,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol36-1804?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=36&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCIV. (1804). The thirty-sixth., 1804",1804,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol37-1805?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=37&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCV. (1805). The thirty-seventh., 1805",1805,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol41-1809?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=38&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCIX. (1809). The forty-first., 1809",1809,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol42-1810?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=39&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCX. (1810). The forty-second., 1810",1810,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol43-1811?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=40&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXI. (1811). The forty-third., 1811",1811,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol44-1812?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=41&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXII. (1812). The forty-fourth., 1812",1812,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol45-1813?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=42&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXIII. (1813). The forty-fifth., 1813",1813,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol46-1814?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=43&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXIV. (1814). The forty-sixth., 1814",1814,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol47-1815?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=44&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXV. (1815). The forty-seventh., 1815",1815,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol48-1816?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=45&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXVI. (1816). The forty-eighth., 1816",1816,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol49-1817?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=46&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXVII. (1817). The forty-ninth., 1817",1817,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol50-1818?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=47&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXVIII. (1818). The fifieth., 1818",1818,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol51-1819?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=48&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXIX. (1919). The fifty-first., 1819",1819,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol52-1820?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=49&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXX. The fifty-second., 1820",1820,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol53-1821?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=50&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXXI. (1821). The fifty-third., 1821",1821,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol54-1822?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=51&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXXII. (1822). The fifty-fourth., 1822",1822,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol56-1824?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=52&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXXIV. (1824). The fifty-sixth., 1824",1824,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol57-1825?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=53&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXXV. (1825). The fifty-seventh., 1825",1825,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol58-1826?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=54&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXXVI. (1826). The fifty-eighth, 1826",1826,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol59-1827?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=55&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXXVII. (1827). The fifty-ninth., 1827",1827,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol60-1828?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=56&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, MDCCCXXVIII. (1828). The sixtieth., 1828",1828,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol61-1829?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=57&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXIX. (1829). The sixty-first., 1829",1829,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol62-1830?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=58&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXX. The sixty-second., 1830",1830,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol63-1831?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=59&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXI. (1831). The sixty-third., 1831",1831,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol64-1832?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=60&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXII. (1832). The sixty-fourth., 1832",1832,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol65-1833?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=61&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXIII. (1833). The sixty-fifth., 1833",1833,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol66-1834?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=62&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXIV. (1834). The sixty-sixth., 1834",1834,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol67-1835?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=63&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXV. (1835). The sixty-seventh., 1835",1835,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol68-1836?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=64&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXVI. (1836). The sixty-eighth., 1836",1836,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol69-1837?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=65&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXVII. (1837). The sixty-ninth., 1837",1837,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol70-1838?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=66&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXVIII. (1838). The seventieth., 1838",1838,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol71-1839?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=67&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXXXIX. (1839). The seventy-first., 1839",1839,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol72-1840?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=68&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXL. (1840). The seventy-second., 1840",1840,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol73-1841?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=69&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXLI. (1841). The seventy-third., 1841",1841,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol74-1842?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=70&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXLII. (1842). The seventy-fourth., 1842",1842,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol75-1843?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=71&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXLIII. (1843). The seventy-fifth., 1843",1843,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol76-1844?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=72&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXLIV. (1844). The seventy-sixth., 1844",1844,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol77-1845?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=73&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXLV. (1845). The seventy-seventh., 1845",1845,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol78-1846?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=74&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXLVI. (1846). The seventy-eighth., 1846",1846,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol79-1847?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=75&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXLVII. (1847). The seventy-ninth., 1847",1847,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol80-1848?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=76&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy. MDCCCXLVIII. (1848). The eightieth., 1848",1848,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol81-1849?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=77&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCXLIX. (1849). The eighty-first., 1849",1849,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol82-1850?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=78&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCL. (1850). The eighty-second., 1850",1850,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol83-1851?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=79&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLI. (1851). The eighty-third., 1851",1851,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol84-1852?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=80&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLII. (1852). The eighty-fourth., 1852",1852,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol85-1853?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=81&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts MDCCCLIII. (1853). The eighty-fifth., 1853",1853,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol86-1854?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=82&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLIV. (1854). The eighty-sixth., 1854",1854,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol87-1855?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=83&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLV. (1855). The eighty-seventh., 1855",1855,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol88-1856?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=84&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLVI. (1856). The eighty-eighth., 1856",1856,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol89-1857?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=85&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLVII. (1857). The eighty-ninth., 1857",1857,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol90-1858?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=86&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLVIII. (1858). The ninetieth., 1858",1858,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol91-1859?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=87&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLIX. (1859). The ninety-first., 1859",1859,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol92-1860?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=88&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLX. (1860). The ninety-second., 1860",1860,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol93-1861?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=89&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLXI. (1861). The ninety-third., 1861",1861,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol94-1862?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=90&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLXII. (1862). The ninety-fourth., 1862",1862,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol95-1863?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=91&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLXIII. (1863). The ninety-fifth., 1863",1863,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol96-1864?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=92&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLXIV. (1864). The ninety-sixth., 1864",1864,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol97-1865?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=93&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLXV. (1865). The ninety-seventh., 1865",1865,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol98-1866?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=94&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLXVI. (1866). The ninety-eighth., 1866",1866,,,,,,,,,,,,,,,,,
